Vakances Nr,Aktualizācijas datums,Iestādes reģistrācijas numurs,Vakances nosaukums,Vakances kategorija,Alga no,Alga līdz,Slodzes tips,Darba laika veids,Darba stundas nedēļā,Pieteikšanās termiņš,Attēls,Vieta,Vakances paplašināts apraksts
220330-169,2022-05-02,90009147261,SOCIĀLAIS APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,4.192,4.192,Viena vesela slodze,Summētais darba laiks,40,2022-05-31,"","Uzvaras iela 50, Dobele, Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/318721865
220401-308,2022-04-04,90009226487,SOCIĀLAIS APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,552.000,802.000,Viena vesela slodze,Summētais darba laiks,"",2022-05-31,"","Zebiekstes iela 12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/318942278
220401-311,2022-04-04,90009226487,SOCIĀLAIS APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,552.000,802.000,Viena vesela slodze,Summētais darba laiks,"",2022-05-31,"","Kalnciema iela 93, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/318943216
180827-113,2022-03-31,41503032140,INTERNISTS,Veselības aprūpe / Sociālā aprūpe,1489.000,1489.000,Viena vesela slodze,Summētais darba laiks,"",2022-05-31,"","Rīgas iela 159, Krāslava, Krāslavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/226890752
220404-45,2022-04-04,90009226487,APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,500.000,608.000,Viena vesela slodze,"","",2022-05-31,"","Berģu iela 142, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/318973984
180726-54,2022-03-31,41503032140,RADIOLOGA ASISTENTS,Veselības aprūpe / Sociālā aprūpe,985.000,985.000,Nepilna slodze,"","",2022-05-31,"","Rīgas iela 159, Krāslava, Krāslavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/225881600
180724-67,2022-03-31,41503032140,ERGOTERAPEITS,Veselības aprūpe / Sociālā aprūpe,1311.000,1311.000,Viena vesela slodze,Summētais darba laiks,"",2022-05-31,"","Rīgas iela 159, Krāslava, Krāslavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/225794320
220316-162,2022-04-29,41503032140,MĀSA (MEDICĪNAS MĀSA),Veselības aprūpe / Sociālā aprūpe,1032.000,1032.000,Viena vesela slodze,Summētais darba laiks,"",2022-05-30,"","Rīgas iela 159, Krāslava, Krāslavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/317816402
220316-303,2022-05-02,90000074738,SĒTNIEKS,Izglītība / Zinātne,500.000,500.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-18,"","Kronvalda iela 22, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/317845859
220404-99,2022-04-04,90009226487,SOCIĀLAIS APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,552.000,802.000,Viena vesela slodze,"","",2022-05-31,"","Stāmerienas iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/318989059
220420-69,2022-05-02,90000074738,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,569.000,569.000,Viena vesela slodze,Normālais darba laiks,"",2022-06-09,"","Jelgava, Aspazijas iela, 18",https://cvvp.nva.gov.lv/#/pub/vakances/320081520
220404-234,2022-04-04,90009226487,PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (BĒRNU SOCIĀLĀS APRŪPES UN SOCIĀLĀS REHABILITĀCIJAS JOMĀ),Veselības aprūpe / Sociālā aprūpe,940.000,1250.000,Viena vesela slodze,"","",2022-05-31,"","Zebiekstes iela 12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319040021
220114-49,2022-05-02,90000074738,MĀSA (MEDICĪNAS MĀSA),Izglītība / Zinātne,1032.000,1032.000,Viena vesela slodze,"","",2022-05-10,"","Zemgales prospekts 7, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/314057013
220404-253,2022-04-05,90009226487,PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (BĒRNU SOCIĀLĀS APRŪPES UN SOCIĀLĀS REHABILITĀCIJAS JOMĀ),Veselības aprūpe / Sociālā aprūpe,940.000,1250.000,Viena vesela slodze,"","",2022-05-31,"","Stāmerienas iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319044049
220405-30,2022-04-12,90009226487,ERGOTERAPEITS,Veselības aprūpe / Sociālā aprūpe,417.500,595.000,Nepilna slodze,"","",2022-05-31,"","Berģu iela 160, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319065283
220421-230,2022-05-02,90000074738,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,900.000,900.000,Viena vesela slodze,"","",2022-06-28,"","Pulkveža Oskara Kalpaka iela 34, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/320222012
220406-174,2022-05-02,90000074738,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,900.000,900.000,Viena vesela slodze,"","",2022-06-28,"","Pulkveža Oskara Kalpaka iela 34, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/319238429
220405-79,2022-04-05,90009226487,MĀSA (MEDICĪNAS MĀSA),Veselības aprūpe / Sociālā aprūpe,675.000,996.000,Viena vesela slodze,"","",2022-05-31,"","Zebiekstes iela 12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319092948
220425-188,2022-05-02,90000074738,PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Izglītība / Zinātne,559.000,559.000,Nepilna slodze,"",26,2022-05-13,"","Blaumaņa iela 14, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/320447900
220425-192,2022-05-02,90000074738,SĒTNIEKS,Izglītība / Zinātne,574.000,574.000,Viena vesela slodze,"",40,2022-05-13,"","Blaumaņa iela 14, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/320448752
220405-98,2022-04-05,90009226487,MĀSA (MEDICĪNAS MĀSA),Veselības aprūpe / Sociālā aprūpe,337.500,498.000,Nepilna slodze,"","",2022-05-31,"","Berģu iela 160, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319096152
220425-186,2022-05-02,90000074738,PIRMSSKOLAS IESTĀŽU UN SKOLU MĀSA,Izglītība / Zinātne,433.500,433.500,Nepilna slodze,"",20,2022-05-13,"","Blaumaņa iela 14, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/320447458
210902-134,2022-05-02,90000074738,PIRMSSKOLAS IESTĀŽU UN SKOLU MĀSA,Izglītība / Zinātne,433.500,433.500,Nepilna slodze,"",20,2022-05-13,"","Māras iela 2, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/303580981
220411-27,2022-04-11,90009226487,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,835.000,1190.000,Viena vesela slodze,"","",2022-05-31,"","Stāmerienas iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319508618
220104-96,2022-05-02,90000074738,PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Izglītība / Zinātne,900.000,900.000,"","",48,2022-05-13,"","Ganību iela 66, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/313203800
210914-188,2022-05-02,90000074738,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,765.000,765.000,Nepilna slodze,"",34,2022-05-11,"","Kronvalda iela 22, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/304403723
220225-9,2022-05-02,90000074738,INTEREŠU IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,283.000,453.000,Nepilna slodze,"","",2022-05-10,"","Zemgales prospekts 7, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/316659549
211206-88,2022-05-02,90000074738,INTEREŠU IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,198.000,283.000,Nepilna slodze,"","",2022-05-10,"","Zemgales prospekts 7, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/311020326
210913-98,2022-05-02,90000074738,INTEREŠU IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,300.000,300.000,Nepilna slodze,"",10,2022-05-10,"","Zemgales prospekts 7, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/304271102
210817-178,2022-05-02,90000074738,PIRMSSKOLAS IESTĀŽU UN SKOLU MĀSA,Izglītība / Zinātne,433.500,433.500,Nepilna slodze,"",20,2022-05-11,"","Kronvalda iela 22, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/302537662
211221-71,2022-05-02,90000074738,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,900.000,900.000,"","","",2022-05-10,"","Pulkveža Brieža iela 23A, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/312184987
220421-202,2022-05-02,90009226487,VESELĪBAS APRŪPES VADĪTĀJS,Veselības aprūpe / Sociālā aprūpe,1052.000,1382.000,Viena vesela slodze,"","",2022-05-31,"","Stāmerienas iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320211258
220426-40,2022-04-26,90009226487,DĀRZNIEKS,Lauksaimniecība / Vide,590.000,650.000,Viena vesela slodze,"","",2022-05-31,"","Braila iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320508374
220106-21,2022-05-02,90000074738,PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Izglītība / Zinātne,900.000,900.000,"","",40,2022-06-09,"","Aspazijas iela 18, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/313387683
220426-51,2022-04-26,90009226487,APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,500.000,608.000,Viena vesela slodze,Summētais darba laiks,"",2022-05-31,"","Zebiekstes iela 12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320510655
220117-150,2022-05-02,90000074738,INTEREŠU IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,198.000,198.000,Nepilna slodze,"",7,2022-05-10,"","Zemgales prospekts 7, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/314199188
220426-54,2022-04-26,90009226487,APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,500.000,608.000,Viena vesela slodze,Summētais darba laiks,"",2022-05-31,"","Braila iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320512027
220301-120,2022-05-02,90000074738,TEHNISKAIS STRĀDNIEKS,Izglītība / Zinātne,250.000,250.000,Nepilna slodze,"",20,2022-06-28,"","Pulkveža Oskara Kalpaka iela 34, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/316852329
220301-199,2022-05-02,90000074738,INTEREŠU IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,170.000,170.000,Nepilna slodze,"",6,2022-05-10,"","Zemgales prospekts 7, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/316882826
220411-205,2022-04-11,90009226487,SOCIĀLAIS APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,276.000,401.000,Nepilna slodze,"","",2022-05-31,"","Kalnciema iela 93, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319575168
220411-212,2022-04-11,90009226487,INTEREŠU PULCIŅA AUDZINĀTĀJS,Veselības aprūpe / Sociālā aprūpe,250.000,352.500,Nepilna slodze,"","",2022-05-31,"","Kalnciema iela 93, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319578660
220411-232,2022-04-11,90009226487,SOCIĀLAIS AUDZINĀTĀJS,Veselības aprūpe / Sociālā aprūpe,500.000,705.000,Viena vesela slodze,"","",2022-05-31,"","Kapseļu iela 18, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319584350
220215-81,2022-02-15,90000023248,PIRMSSKOLAS IESTĀŽU UN SKOLU MĀSA,Veselības aprūpe / Sociālā aprūpe,1032.000,1032.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-31,"","Ūnijas iela 93, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/316052707
220411-220,2022-04-11,90009226487,SOCIĀLAIS REHABILITĒTĀJS,Veselības aprūpe / Sociālā aprūpe,552.000,802.000,Viena vesela slodze,"","",2022-05-31,"","Braila iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319581569
220215-83,2022-02-15,90000023248,PEDAGOGS,Izglītība / Zinātne,960.000,960.000,Viena vesela slodze,Normālais darba laiks,0,2022-05-31,"","Ūnijas iela 93, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/316052944
220411-228,2022-04-11,90009226487,SOCIĀLAIS AUDZINĀTĀJS,Veselības aprūpe / Sociālā aprūpe,500.000,705.000,Viena vesela slodze,"","",2022-05-31,"","Zebiekstes iela 12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319583132
220215-78,2022-02-16,90000023248,PEDAGOGS,Izglītība / Zinātne,960.000,960.000,Viena vesela slodze,Normālais darba laiks,0,2022-05-31,"","Ūnijas iela 93, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/316052241
220411-235,2022-04-11,90009226487,SOCIĀLAIS AUDZINĀTĀJS,Veselības aprūpe / Sociālā aprūpe,500.000,705.000,Viena vesela slodze,"","",2022-05-31,"","Stāmerienas iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319585359
220215-75,2022-02-16,90000023248,PAGARINĀTĀS DIENAS GRUPAS SKOLOTĀJS,Izglītība / Zinātne,560.000,560.000,Nepilna slodze,Nepilnais darba laiks,5,2022-05-31,"","Burtnieku iela 34, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/316051826
220414-147,2022-04-14,90009226487,ERGOTERAPEITS,Veselības aprūpe / Sociālā aprūpe,208.750,297.500,Nepilna slodze,"","",2022-05-31,"","Kapseļu iela 18, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319893925
220428-10,2022-04-28,90009226487,PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (BĒRNU SOCIĀLĀS APRŪPES UN SOCIĀLĀS REHABILITĀCIJAS JOMĀ),Veselības aprūpe / Sociālā aprūpe,840.000,1250.000,Viena vesela slodze,"","",2022-05-31,"","Kapseļu iela 31, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320719751
220502-60,2022-05-02,90009226487,PSIHOLOGS,Veselības aprūpe / Sociālā aprūpe,372.500,547.000,Nepilna slodze,"","",2022-05-31,"","Stāmerienas iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321011510
220411-5,2022-04-11,40003032065,DATORSISTĒMU TEHNIĶIS,Informācijas tehnoloģijas / Telekomunikācijas,1200.000,1200.000,Viena vesela slodze,"","",2022-05-11,"","Turgeņeva iela 21, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319496795
220426-155,2022-05-02,90009114631,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (KULTŪRAS JOMĀ),Kultūra / Māksla,813.000,813.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-10,"","“Mežgravas” Liepupes pagasts, Limbažu novads",https://cvvp.nva.gov.lv/#/pub/vakances/320558771
220426-217,2022-05-02,90009114631,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (KULTŪRAS JOMĀ),Kultūra / Māksla,875.000,875.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-10,"","Lielā iela 7, Staicele, Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320582259
220427-173,2022-05-02,90009114631,LIETVEDIS,Cita,755.000,755.000,Viena vesela slodze,"","",2022-05-13,"","Mūru iela 17, Limbaži, Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320679295
220502-461,2022-05-03,90009114631,FIZIOTERAPEITS,Veselības aprūpe / Sociālā aprūpe,655.000,655.000,Nepilna slodze,"","",2022-05-12,"","Ausekļa  iela 1, Aloja, Limbažu novads",https://cvvp.nva.gov.lv/#/pub/vakances/321106639
220502-496,2022-05-02,90009114631,APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,547.000,547.000,Viena vesela slodze,Maiņu darbs,"",2022-05-12,"","Cēsu iela 7, Limbaži, Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/321113394
220502-519,2022-05-02,90009114631,SOCIĀLAIS DARBINIEKS DARBAM AR PERSONU GRUPĀM,Veselības aprūpe / Sociālā aprūpe,933.000,933.000,"","","",2022-05-12,"","Klostera iela 2, Limbaži, Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/321117903
220502-534,2022-05-02,90009114631,SOCIĀLAIS REHABILITĒTĀJS,Veselības aprūpe / Sociālā aprūpe,793.000,793.000,"","","",2022-05-12,"","Klostera iela 4, Limbaži, Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/321121283
220502-543,2022-05-02,90009114631,SOCIĀLAIS REHABILITĒTĀJS,Veselības aprūpe / Sociālā aprūpe,753.000,753.000,"","","",2022-05-12,"","Cēsu iela 7, Limbaži, Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/321122231
220502-152,2022-05-02,90001262846,PAŠVALDĪBAS POLICIJAS VECĀKAIS KĀRTĪBNIEKS,Drošība / Glābšanas dienesti / Aizsardzība,1150.000,1250.000,Viena vesela slodze,Summētais darba laiks,"",2022-05-27,"","Rīgas iela 30, Salaspils, Salaspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/321041006
220427-70,2022-04-27,90000377652,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,970.000,970.000,Viena vesela slodze,"","",2022-05-16,"","Eiženijas iela 1E, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320642219
220426-128,2022-04-26,40900030515,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,720.000,720.000,Nepilna slodze,Normālais darba laiks,"",2022-05-30,"","Stāvā iela 41, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/320541783
220414-39,2022-04-25,90000289913,VECĀKAIS DATORTĪKLA ADMINISTRATORS,Valsts pārvalde,1900.000,1900.000,"","","",2022-05-05,"","Bruņinieku iela 72B, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319847873
220419-262,2022-04-28,90000289913,INFORMĀCIJAS DROŠĪBAS VADĪTĀJS,Valsts pārvalde,1900.000,1900.000,"","","",2022-05-09,"","Bruņinieku iela 72B, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320016865
220422-60,2022-04-22,90000076673,MUZEJA IZSTĀŽU UN EKSPOZĪCIJU ZĀĻU UZRAUGS,Kultūra / Māksla,520.000,520.000,Viena vesela slodze,"","",2022-05-10,"","Brīvības bulvāris 32, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320286807
220422-63,2022-04-22,90000076673,BIĻEŠU KASES KASIERIS,Kultūra / Māksla,552.000,800.000,Viena vesela slodze,"","",2022-05-10,"","Brīvības bulvāris 32, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320287977
220412-158,2022-04-13,40003032065,PROJEKTA VADĪTĀJS,Cita,2200.000,2200.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-11,"","Gogoļa iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319679972
220425-1,2022-04-25,40003032065,ELEKTROLĪNIJU MEHĀNIĶIS,Transports / Loģistika,860.000,945.000,Viena vesela slodze,Summētais darba laiks,40,2022-05-30,"","Baseina iela 10/12, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/320369192
220419-174,2022-04-19,90000052389,MĀSA (MEDICĪNAS MĀSA),Veselības aprūpe / Sociālā aprūpe,789.000,789.000,"","","",2022-05-19,"","Pērkoņu iela 21, Ventspils",https://cvvp.nva.gov.lv/#/pub/vakances/319989202
220407-264,2022-04-29,90009612809,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1106.000,1106.000,Nepilna slodze,Normālais darba laiks,"",2022-05-31,"","Vadu iela 3, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319356309
220419-103,2022-04-19,90000013926,MĀSAS PALĪGS,Veselības aprūpe / Sociālā aprūpe,1059.000,1059.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-17,"","Sēlpils iela 9, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319954897
220426-129,2022-04-26,90009235333,VECĀKAIS EKSPERTS,Pakalpojumi,1200.000,1200.000,Viena vesela slodze,"","",2022-05-24,"","Lejupes iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320543061
220419-78,2022-04-19,90009235333,MIKROBIOLOGA PALĪGS,Izglītība / Zinātne,850.000,1000.000,"","","",2022-06-08,"","Lejupes iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319943188
220408-37,2022-04-29,90009612809,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,990.000,990.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-31,"","Vadu iela 3, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319392530
220408-45,2022-04-29,90009612809,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,990.000,990.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-31,"","Vadu iela 3, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319394124
211109-36,2022-05-02,90000056925,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,830.000,875.000,Nepilna slodze,"","",2022-06-02,"","Skolas iela 16, Bērzi, Īslīces pag., Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/308985684
220318-292,2022-04-29,90009612809,Izglītības un skolu PSIHOLOGS,Izglītība / Zinātne,990.000,990.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-31,"","Vadu iela 3, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/317999388
220420-35,2022-04-29,90009612809,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,990.000,990.000,Nepilna slodze,Normālais darba laiks,"",2022-05-31,"","Vadu iela 3, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320066322
220502-568,2022-05-03,90009612809,SABIEDRISKO ATTIECĪBU SPECIĀLISTS,Izglītība / Zinātne,1000.000,1000.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-11,"","Vadu iela 3, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/321124501
220318-295,2022-04-29,90009612809,PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,990.000,990.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-31,"","Vadu iela 3, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/317999501
220325-181,2022-04-25,40900030125,PIRMSSKOLAS IESTĀŽU UN SKOLU MĀSA,Izglītība / Zinātne,468.000,468.000,Nepilna slodze,Normālais darba laiks,"",2022-05-25,"","Vienības iela 36A, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/318428456
220427-222,2022-04-29,90009114646,Ugunsdrošības SPECIĀLISTS,Valsts pārvalde,1183.000,1183.000,Viena vesela slodze,"","",2022-05-19,"","Striķu iela 3, Saldus, Saldus nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320694545
220421-95,2022-04-21,90000056893,VIRTUVES DARBINIEKS,Ēdināšana / Pārtikas rūpniecība,500.000,705.000,Viena vesela slodze,Summētais darba laiks,"",2022-05-11,"","Kadaga, Ādažu nov.,LV-2103",https://cvvp.nva.gov.lv/#/pub/vakances/320181276
220427-241,2022-04-28,90009114646,DĀRZNIEKS,Valsts pārvalde,500.000,500.000,"","","",2022-05-09,"","Kantora ēka - 1, Remte, Remtes pag., Saldus nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320700909
220427-2,2022-04-29,90009114646,SĀKUMIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,890.000,890.000,"","","",2022-05-26,"","Skolas iela 1, Lutriņi, Lutriņu pag., Saldus nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320601681
220429-131,2022-04-29,90009114646,GRĀMATVEDIS (TREŠĀ LĪMEŅA KVALIFIKĀCIJA),Valsts pārvalde,1052.000,1052.000,Viena vesela slodze,"","",2022-05-13,"","Striķu iela 3, Saldus, Saldus nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320912993
220411-265,2022-04-12,90000068854,SISTĒMANALĪTIĶIS,Valsts pārvalde,1253.000,1647.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-18,"","Brīvības iela 55, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319593557
220421-99,2022-04-21,90000056893,ĢIMENES (VISPĀRĒJĀS PRAKSES) ĀRSTS,Veselības aprūpe / Sociālā aprūpe,940.000,1287.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-11,"","Kadaga, Ādažu pag., Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320182923
220421-112,2022-04-21,90000056893,ĢIMENES (VISPĀRĒJĀS PRAKSES) ĀRSTS,Veselības aprūpe / Sociālā aprūpe,728.000,1092.000,Nepilna slodze,Normālais darba laiks,"",2022-05-11,"","Kadaga, Ādažu pag., Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320186359
